Algorithm,Test Acc,K-Fold Mean,K-Fold Std,Target,Combined
GradientBoosting,0.7800970873786408,0.9348999179738388,0.0068855156516761514,type,0.8574985026762398
GradientBoosting,0.6174757281553398,0.5569627265091422,0.012710957395447,cvss_score,0.587219227332241
